,global,global,global,all_minimizations,all_minimizations,all_minimizations,all_minimizations,only_complete_minimization,only_complete_minimization,only_complete_minimization,only_complete_minimization,no_absorbed_removal,no_absorbed_removal,no_absorbed_removal,no_absorbed_removal,ascending_heuristic,ascending_heuristic,ascending_heuristic,ascending_heuristic,descending_heuristic,descending_heuristic,descending_heuristic,descending_heuristic,lace_1_thread,lace_1_thread,lace_1_thread,lace_1_thread,lace_7_threads,lace_7_threads,lace_7_threads,lace_7_threads
,size,vars,aux_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars,duration,end_size,max_size,end_vars
dataset/qif/mixdup.dc.min,817,577,268,345990,64,817,180,171032,64,817,180,392352.0,64.0,817.0,180.0,160991,64,817,180,440804,64,817,180,73118,64,817,180,225900,64,817,180
dataset/random/uf250-1065/uf250-010.dc.min,6676,1955,1705,280784789,2839,9842,250,239016867,1225,7252,250,3761985180.0,418441160.0,418441160.0,449.0,426309340,1764,9847,250,3600018464,33518,33518,1374,279943924,2839,9842,250,287324245,2839,9842,250
dataset/random/uf250-1065/uf250-0100.dc.min,9511,2902,2652,3600067587,32609,32609,434,3600323965,18506,18506,463,3658115586.0,309573239.0,309573239.0,884.0,1978849294,1193,13262,250,3600049299,42877,42877,2672,3600072534,32609,32609,434,3600066596,32609,32609,434
dataset/random/uf250-1065/uf250-011.dc.min,388,322,72,73289,28,388,245,80511,28,388,245,80412.0,28.0,388.0,245.0,95426,28,388,245,52446,28,388,245,17283,28,388,245,103486,28,388,245
dataset/random/uf250-1065/uf250-013.dc.min,2027,787,537,2412971,359,2751,247,3294661,187,2027,247,25103214.0,2260.0,875914.0,247.0,5995378,208,2651,247,54611091,339,2966,247,1789202,359,2751,247,3389572,359,2751,247
dataset/random/uf250-1065/uf250-014.dc.min,18183,4674,4424,3600378345,24434,27153,773,3600222766,16864,19885,739,3671177845.0,253261623.0,253261623.0,1720.0,3600287415,16975,26848,3457,3600057322,104499,104499,4467,3600441631,23126,27153,773,3600382015,24092,27153,773
dataset/random/uf250-1065/uf250-017.dc.min,2245,871,621,4991025,552,3143,249,4489979,374,2325,249,21643360.0,171720.0,2252663.0,249.0,12992231,348,2982,249,55621664,439,3101,249,2466219,552,3143,249,4729717,552,3143,249
dataset/random/uf250-1065/uf250-018.dc.min,5167,1756,1506,3600218470,16234,16234,278,3291280518,322,10213,250,3714211159.0,534162791.0,534162791.0,514.0,99811098,482,6992,250,3600018594,15663,15663,1215,3600166097,11175,14671,278,3600026633,24525,24525,275
dataset/random/uf250-1065/uf250-02.dc.min,1452,579,329,1645525,367,1801,245,1685022,145,1452,245,9867178.0,4324.0,356783.0,245.0,3023719,322,1838,245,11718767,196,1855,245,1234497,367,1801,245,2025856,367,1801,245
dataset/random/uf250-1065/uf250-020.dc.min,28415,8810,8560,3600526547,21735,42237,4140,3600281120,19296,31040,2238,3600577289.0,61453166.0,61453166.0,4604.0,3600034596,36051,41160,8317,3600746259,36228,43857,8699,3600436037,21546,42237,4140,3600705411,24050,42237,4140
dataset/random/uf250-1065/uf250-022.dc.min,386,329,79,76326,23,386,244,84981,23,386,244,91147.0,23.0,386.0,244.0,47085,23,386,244,55918,23,386,244,24114,23,386,244,122094,23,386,244
dataset/random/uf250-1065/uf250-023.dc.min,3766,1112,862,31816843,1990,5483,250,25975527,803,4064,250,3743345122.0,425630213.0,471477915.0,286.0,313585378,1228,5322,250,995574744,1153,6199,250,27359740,1990,5483,250,31239106,1990,5483,250
dataset/random/uf250-1065/uf250-024.dc.min,491,362,112,163623,95,491,246,75161,95,491,246,113229.0,95.0,491.0,246.0,148212,95,491,246,221685,79,491,246,37535,95,491,246,178177,95,491,246
dataset/random/uf250-1065/uf250-026.dc.min,781,463,213,409458,88,781,246,375053,345,781,246,383225.0,345.0,781.0,246.0,360202,233,822,246,678286,96,817,246,213956,88,781,246,425726,88,781,246
dataset/random/uf250-1065/uf250-027.dc.min,13403,3994,3744,3600302588,17091,19839,682,3600217888,13561,14543,676,3625823598.0,363542456.0,363542456.0,1596.0,3049989076,680,19335,249,3600022810,41881,41881,3860,3600563830,16958,19839,682,3600298934,14447,19839,699
dataset/random/uf250-1065/uf250-028.dc.min,1775,681,431,2008081,445,2458,250,1805408,298,1783,250,6798734.0,24340.0,321830.0,250.0,9958978,365,2391,250,11067713,391,2326,250,1305761,445,2458,250,2526583,445,2458,250
dataset/random/uf250-1065/uf250-029.dc.min,337,309,59,66106,10,337,238,63315,10,337,238,37378.0,10.0,337.0,238.0,38008,10,337,238,35616,10,337,238,12728,10,337,238,77610,10,337,238
dataset/random/uf250-1065/uf250-03.dc.min,3371,1118,868,13114433,945,4818,248,10837702,408,3510,248,3686311389.0,121760366.0,129138953.0,278.0,34937794,581,4410,248,1552115490,791,6511,248,9337640,945,4818,248,13105540,945,4818,248
dataset/random/uf250-1065/uf250-030.dc.min,19707,5501,5251,3600317729,19127,29370,1010,3600262473,15493,21543,924,3620802770.0,207349500.0,207349500.0,2060.0,3600230860,22456,28380,4697,3600050269,104242,104242,5316,3600278986,16386,29370,1010,3600334965,17079,29370,1010
dataset/random/uf250-1065/uf250-031.dc.min,2551,831,581,8097923,890,3662,250,10536207,537,2695,250,36142830.0,152249.0,2319588.0,250.0,93402238,1132,3696,250,658109651,565,4229,250,5670130,890,3662,250,6591076,890,3662,250
